alertmanager;0.19%;21.26MiB / 9.708GiB
prometheus;0.65%;43.31MiB / 9.708GiB
grafana;0.10%;53.56MiB / 9.708GiB
logstash;2.76%;721MiB / 9.708GiB
kibana;8.36%;616.5MiB / 9.708GiB
elasticsearch;1.77%;1.892GiB / 9.708GiB
cadvisor;3.30%;39.55MiB / 9.708GiB
node-exporter;0.00%;8.207MiB / 9.708GiB
alertmanager;0.27%;21.31MiB / 9.708GiB
prometheus;0.40%;43.18MiB / 9.708GiB
grafana;0.27%;53.56MiB / 9.708GiB
logstash;10.93%;721.3MiB / 9.708GiB
kibana;9.21%;616.5MiB / 9.708GiB
elasticsearch;5.87%;1.893GiB / 9.708GiB
cadvisor;2.92%;39.55MiB / 9.708GiB
node-exporter;0.00%;8.062MiB / 9.708GiB
alertmanager;0.29%;21.32MiB / 9.708GiB
prometheus;1.39%;43.18MiB / 9.708GiB
grafana;0.23%;53.56MiB / 9.708GiB
logstash;1.83%;722.1MiB / 9.708GiB
kibana;34.68%;591.5MiB / 9.708GiB
elasticsearch;8.12%;1.893GiB / 9.708GiB
cadvisor;11.29%;39.88MiB / 9.708GiB
node-exporter;0.00%;8.062MiB / 9.708GiB
alertmanager;0.17%;21.38MiB / 9.708GiB
prometheus;0.60%;42.63MiB / 9.708GiB
grafana;0.19%;53.56MiB / 9.708GiB
logstash;3.86%;722.1MiB / 9.708GiB
kibana;7.43%;591.6MiB / 9.708GiB
elasticsearch;1.71%;1.893GiB / 9.708GiB
cadvisor;2.65%;39.88MiB / 9.708GiB
node-exporter;0.00%;8.066MiB / 9.708GiB
alertmanager;0.17%;20.56MiB / 9.708GiB
prometheus;1.70%;42.63MiB / 9.708GiB
grafana;0.32%;53.62MiB / 9.708GiB
logstash;2.19%;722.4MiB / 9.708GiB
kibana;8.50%;591.6MiB / 9.708GiB
elasticsearch;5.52%;1.893GiB / 9.708GiB
cadvisor;2.04%;41MiB / 9.708GiB
node-exporter;0.00%;8.066MiB / 9.708GiB
alertmanager;0.34%;20.57MiB / 9.708GiB
prometheus;0.00%;42.62MiB / 9.708GiB
grafana;0.31%;53.62MiB / 9.708GiB
logstash;1.71%;722.4MiB / 9.708GiB
kibana;8.17%;591.6MiB / 9.708GiB
elasticsearch;2.09%;1.893GiB / 9.708GiB
cadvisor;2.91%;40.69MiB / 9.708GiB
node-exporter;0.00%;7.84MiB / 9.708GiB
alertmanager;0.41%;20.57MiB / 9.708GiB
prometheus;1.06%;42.61MiB / 9.708GiB
grafana;0.20%;53.62MiB / 9.708GiB
logstash;3.95%;722.9MiB / 9.708GiB
kibana;11.08%;591.6MiB / 9.708GiB
elasticsearch;4.87%;1.893GiB / 9.708GiB
cadvisor;6.55%;41.37MiB / 9.708GiB
node-exporter;0.00%;7.84MiB / 9.708GiB
alertmanager;0.34%;20.57MiB / 9.708GiB
prometheus;0.00%;42.61MiB / 9.708GiB
grafana;0.29%;53.62MiB / 9.708GiB
logstash;3.55%;722.9MiB / 9.708GiB
kibana;9.12%;594.4MiB / 9.708GiB
elasticsearch;2.33%;1.893GiB / 9.708GiB
cadvisor;3.28%;41.37MiB / 9.708GiB
node-exporter;0.00%;7.855MiB / 9.708GiB
alertmanager;0.25%;20.57MiB / 9.708GiB
prometheus;0.80%;42.61MiB / 9.708GiB
grafana;0.15%;53.62MiB / 9.708GiB
logstash;3.27%;723MiB / 9.708GiB
kibana;7.55%;594.7MiB / 9.708GiB
elasticsearch;1.42%;1.894GiB / 9.708GiB
cadvisor;2.29%;41.38MiB / 9.708GiB
node-exporter;0.00%;7.855MiB / 9.708GiB
