logstash;1.53%;659.7MiB / 9.708GiB
alertmanager;0.09%;19.71MiB / 9.708GiB
prometheus;0.61%;49.29MiB / 9.708GiB
grafana;0.48%;53.54MiB / 9.708GiB
kibana;3.77%;683.5MiB / 9.708GiB
elasticsearch;0.70%;2.003GiB / 9.708GiB
cadvisor;2.72%;43.9MiB / 9.708GiB
node-exporter;0.00%;8.793MiB / 9.708GiB
logstash;1.04%;659.7MiB / 9.708GiB
alertmanager;0.22%;19.71MiB / 9.708GiB
prometheus;0.00%;49.29MiB / 9.708GiB
grafana;0.13%;53.54MiB / 9.708GiB
kibana;4.00%;683.5MiB / 9.708GiB
elasticsearch;1.98%;2.003GiB / 9.708GiB
cadvisor;1.29%;43.9MiB / 9.708GiB
node-exporter;0.00%;8.621MiB / 9.708GiB
logstash;1.26%;659.9MiB / 9.708GiB
alertmanager;0.10%;19.71MiB / 9.708GiB
prometheus;0.62%;50MiB / 9.708GiB
grafana;0.04%;53.54MiB / 9.708GiB
kibana;3.86%;683.3MiB / 9.708GiB
elasticsearch;1.12%;2.003GiB / 9.708GiB
cadvisor;4.19%;43.95MiB / 9.708GiB
node-exporter;0.00%;8.621MiB / 9.708GiB
logstash;1.29%;659.8MiB / 9.708GiB
alertmanager;0.25%;19.71MiB / 9.708GiB
prometheus;0.23%;49.99MiB / 9.708GiB
grafana;0.08%;53.54MiB / 9.708GiB
kibana;3.80%;683.3MiB / 9.708GiB
elasticsearch;2.42%;2.003GiB / 9.708GiB
cadvisor;2.35%;43.07MiB / 9.708GiB
node-exporter;0.00%;8.621MiB / 9.708GiB
logstash;2.51%;659.8MiB / 9.708GiB
alertmanager;0.16%;19.71MiB / 9.708GiB
prometheus;0.17%;49.99MiB / 9.708GiB
grafana;0.07%;53.54MiB / 9.708GiB
kibana;5.94%;683.3MiB / 9.708GiB
elasticsearch;1.77%;2.003GiB / 9.708GiB
cadvisor;1.97%;43.2MiB / 9.708GiB
node-exporter;0.00%;8.621MiB / 9.708GiB
logstash;1.38%;659.9MiB / 9.708GiB
alertmanager;0.14%;19.72MiB / 9.708GiB
prometheus;0.00%;50.64MiB / 9.708GiB
grafana;0.03%;53.54MiB / 9.708GiB
kibana;3.58%;683.3MiB / 9.708GiB
elasticsearch;0.95%;2.003GiB / 9.708GiB
cadvisor;3.34%;43.58MiB / 9.708GiB
node-exporter;0.00%;8.629MiB / 9.708GiB
logstash;3.43%;660MiB / 9.708GiB
alertmanager;0.17%;19.72MiB / 9.708GiB
prometheus;0.00%;50.64MiB / 9.708GiB
grafana;0.17%;53.54MiB / 9.708GiB
kibana;3.60%;683.3MiB / 9.708GiB
elasticsearch;1.50%;2.003GiB / 9.708GiB
cadvisor;1.52%;43.59MiB / 9.708GiB
node-exporter;0.00%;8.629MiB / 9.708GiB
logstash;1.18%;660MiB / 9.708GiB
alertmanager;0.19%;19.72MiB / 9.708GiB
prometheus;0.11%;50.64MiB / 9.708GiB
grafana;0.08%;53.54MiB / 9.708GiB
kibana;3.23%;683.3MiB / 9.708GiB
elasticsearch;0.66%;2.003GiB / 9.708GiB
cadvisor;2.41%;43.66MiB / 9.708GiB
node-exporter;0.00%;8.754MiB / 9.708GiB
logstash;1.20%;660.4MiB / 9.708GiB
alertmanager;0.15%;19.72MiB / 9.708GiB
prometheus;0.00%;50.64MiB / 9.708GiB
grafana;0.03%;53.54MiB / 9.708GiB
kibana;2.75%;683.3MiB / 9.708GiB
elasticsearch;1.10%;2.003GiB / 9.708GiB
cadvisor;1.40%;43.65MiB / 9.708GiB
node-exporter;0.00%;8.754MiB / 9.708GiB
logstash;0.81%;660.8MiB / 9.708GiB
alertmanager;0.41%;19.72MiB / 9.708GiB
prometheus;0.00%;50.76MiB / 9.708GiB
grafana;0.07%;53.54MiB / 9.708GiB
kibana;4.02%;683.3MiB / 9.708GiB
elasticsearch;1.33%;2.003GiB / 9.708GiB
cadvisor;0.98%;43.66MiB / 9.708GiB
node-exporter;0.00%;8.895MiB / 9.708GiB
