competent_albattani;6.78%;27.49MiB / 9.708GiB
logstash;11.51%;719.1MiB / 9.708GiB
alertmanager;0.15%;18.07MiB / 9.708GiB
prometheus;0.00%;50.4MiB / 9.708GiB
grafana;0.06%;53.56MiB / 9.708GiB
kibana;4.84%;683.3MiB / 9.708GiB
elasticsearch;5.80%;2.003GiB / 9.708GiB
cadvisor;1.53%;45.49MiB / 9.708GiB
node-exporter;0.00%;9.141MiB / 9.708GiB
competent_albattani;5.97%;27.64MiB / 9.708GiB
logstash;30.99%;751.1MiB / 9.708GiB
alertmanager;0.29%;18.12MiB / 9.708GiB
prometheus;0.29%;50.4MiB / 9.708GiB
grafana;0.33%;53.56MiB / 9.708GiB
kibana;5.71%;683.3MiB / 9.708GiB
elasticsearch;4.88%;2.003GiB / 9.708GiB
cadvisor;1.39%;45.58MiB / 9.708GiB
node-exporter;0.00%;8.535MiB / 9.708GiB
competent_albattani;5.61%;28.12MiB / 9.708GiB
logstash;12.40%;776.2MiB / 9.708GiB
alertmanager;0.18%;18.12MiB / 9.708GiB
prometheus;0.00%;50.4MiB / 9.708GiB
grafana;0.03%;53.56MiB / 9.708GiB
kibana;5.68%;683.3MiB / 9.708GiB
elasticsearch;12.78%;2.003GiB / 9.708GiB
cadvisor;2.10%;45.57MiB / 9.708GiB
node-exporter;0.00%;8.535MiB / 9.708GiB
competent_albattani;5.35%;28.25MiB / 9.708GiB
logstash;18.50%;776.3MiB / 9.708GiB
alertmanager;0.23%;18.17MiB / 9.708GiB
prometheus;0.06%;50.95MiB / 9.708GiB
grafana;0.12%;53.57MiB / 9.708GiB
kibana;4.83%;683.3MiB / 9.708GiB
elasticsearch;5.66%;2.003GiB / 9.708GiB
cadvisor;2.54%;44.82MiB / 9.708GiB
node-exporter;0.00%;8.562MiB / 9.708GiB
competent_albattani;8.30%;30.05MiB / 9.708GiB
logstash;13.78%;776.5MiB / 9.708GiB
alertmanager;0.18%;18.17MiB / 9.708GiB
prometheus;0.04%;50.95MiB / 9.708GiB
grafana;2.12%;53.57MiB / 9.708GiB
kibana;6.13%;683.3MiB / 9.708GiB
elasticsearch;6.47%;2.003GiB / 9.708GiB
cadvisor;3.05%;44.82MiB / 9.708GiB
node-exporter;0.00%;8.562MiB / 9.708GiB
competent_albattani;6.77%;31.1MiB / 9.708GiB
logstash;12.10%;776.5MiB / 9.708GiB
alertmanager;0.66%;18.79MiB / 9.708GiB
prometheus;0.20%;50.95MiB / 9.708GiB
grafana;0.15%;53.57MiB / 9.708GiB
kibana;4.78%;683.3MiB / 9.708GiB
elasticsearch;4.69%;2.003GiB / 9.708GiB
cadvisor;1.55%;44.88MiB / 9.708GiB
node-exporter;1.32%;8.562MiB / 9.708GiB
competent_albattani;7.32%;32.07MiB / 9.708GiB
logstash;7.92%;776.5MiB / 9.708GiB
alertmanager;0.11%;18.79MiB / 9.708GiB
prometheus;0.11%;50.98MiB / 9.708GiB
grafana;0.16%;53.57MiB / 9.708GiB
kibana;5.48%;683.3MiB / 9.708GiB
elasticsearch;4.86%;2.003GiB / 9.708GiB
cadvisor;1.50%;45MiB / 9.708GiB
node-exporter;0.00%;8.562MiB / 9.708GiB
competent_albattani;6.23%;32MiB / 9.708GiB
logstash;8.96%;776.6MiB / 9.708GiB
alertmanager;0.14%;18.79MiB / 9.708GiB
prometheus;1.08%;50.99MiB / 9.708GiB
grafana;0.08%;53.57MiB / 9.708GiB
kibana;7.96%;683.4MiB / 9.708GiB
elasticsearch;4.37%;2.003GiB / 9.708GiB
cadvisor;1.56%;43.68MiB / 9.708GiB
node-exporter;0.00%;8.562MiB / 9.708GiB
competent_albattani;10.35%;32.58MiB / 9.708GiB
logstash;16.39%;776.8MiB / 9.708GiB
alertmanager;0.19%;18.79MiB / 9.708GiB
prometheus;0.00%;50.98MiB / 9.708GiB
grafana;0.05%;53.57MiB / 9.708GiB
kibana;10.05%;683.4MiB / 9.708GiB
elasticsearch;15.88%;2.003GiB / 9.708GiB
cadvisor;1.52%;43.8MiB / 9.708GiB
node-exporter;0.00%;8.566MiB / 9.708GiB
competent_albattani;8.56%;32.75MiB / 9.708GiB
logstash;15.15%;776.8MiB / 9.708GiB
alertmanager;0.18%;18.79MiB / 9.708GiB
prometheus;1.27%;51.03MiB / 9.708GiB
grafana;0.12%;53.57MiB / 9.708GiB
kibana;6.14%;683.4MiB / 9.708GiB
elasticsearch;6.05%;2.003GiB / 9.708GiB
cadvisor;2.06%;42.3MiB / 9.708GiB
node-exporter;0.00%;8.566MiB / 9.708GiB
