alertmanager;0.15%;18.48MiB / 9.708GiB
prometheus;0.67%;46.89MiB / 9.708GiB
grafana;0.17%;53.32MiB / 9.708GiB
logstash;1.59%;786.9MiB / 9.708GiB
kibana;5.75%;661.8MiB / 9.708GiB
elasticsearch;2.41%;1.925GiB / 9.708GiB
cadvisor;4.37%;42.61MiB / 9.708GiB
node-exporter;0.00%;8.055MiB / 9.708GiB
alertmanager;0.32%;19.11MiB / 9.708GiB
prometheus;0.67%;46.88MiB / 9.708GiB
grafana;0.32%;53.32MiB / 9.708GiB
logstash;3.80%;786.9MiB / 9.708GiB
kibana;4.48%;662MiB / 9.708GiB
elasticsearch;1.79%;1.925GiB / 9.708GiB
cadvisor;2.07%;42.62MiB / 9.708GiB
node-exporter;0.00%;8.164MiB / 9.708GiB
alertmanager;0.12%;19.11MiB / 9.708GiB
prometheus;1.52%;47.59MiB / 9.708GiB
grafana;0.18%;53.32MiB / 9.708GiB
logstash;1.36%;786.9MiB / 9.708GiB
kibana;4.68%;662.2MiB / 9.708GiB
elasticsearch;2.28%;1.925GiB / 9.708GiB
cadvisor;0.88%;42.68MiB / 9.708GiB
node-exporter;0.00%;8.164MiB / 9.708GiB
alertmanager;0.16%;19.12MiB / 9.708GiB
prometheus;0.00%;47.58MiB / 9.708GiB
grafana;0.18%;53.32MiB / 9.708GiB
logstash;2.55%;787MiB / 9.708GiB
kibana;2.56%;662.6MiB / 9.708GiB
elasticsearch;1.33%;1.925GiB / 9.708GiB
cadvisor;1.64%;42.68MiB / 9.708GiB
node-exporter;0.00%;8.188MiB / 9.708GiB
alertmanager;0.13%;19.12MiB / 9.708GiB
prometheus;0.99%;47.58MiB / 9.708GiB
grafana;0.19%;53.32MiB / 9.708GiB
logstash;1.16%;786.9MiB / 9.708GiB
kibana;3.82%;662.8MiB / 9.708GiB
elasticsearch;1.18%;1.925GiB / 9.708GiB
cadvisor;3.75%;42.75MiB / 9.708GiB
node-exporter;0.00%;8.188MiB / 9.708GiB
alertmanager;0.23%;19.11MiB / 9.708GiB
prometheus;0.00%;47.59MiB / 9.708GiB
grafana;0.29%;53.31MiB / 9.708GiB
logstash;2.52%;786.9MiB / 9.708GiB
kibana;5.04%;663MiB / 9.708GiB
elasticsearch;5.45%;1.926GiB / 9.708GiB
cadvisor;2.07%;42.77MiB / 9.708GiB
node-exporter;0.00%;7.828MiB / 9.708GiB
alertmanager;0.13%;19.11MiB / 9.708GiB
prometheus;0.19%;47.59MiB / 9.708GiB
grafana;0.18%;53.31MiB / 9.708GiB
logstash;2.89%;786.9MiB / 9.708GiB
kibana;3.67%;663.2MiB / 9.708GiB
elasticsearch;0.85%;1.926GiB / 9.708GiB
cadvisor;1.78%;42.89MiB / 9.708GiB
node-exporter;0.00%;7.828MiB / 9.708GiB
alertmanager;0.32%;19.11MiB / 9.708GiB
prometheus;0.00%;47.59MiB / 9.708GiB
grafana;0.17%;53.31MiB / 9.708GiB
logstash;1.39%;787MiB / 9.708GiB
kibana;5.92%;663.9MiB / 9.708GiB
elasticsearch;12.50%;1.926GiB / 9.708GiB
cadvisor;1.83%;43.05MiB / 9.708GiB
node-exporter;0.00%;7.832MiB / 9.708GiB
alertmanager;0.15%;19.11MiB / 9.708GiB
prometheus;0.23%;47.59MiB / 9.708GiB
grafana;0.19%;53.31MiB / 9.708GiB
logstash;3.24%;787MiB / 9.708GiB
kibana;4.44%;665.4MiB / 9.708GiB
elasticsearch;0.74%;1.926GiB / 9.708GiB
cadvisor;3.90%;42.97MiB / 9.708GiB
node-exporter;0.00%;7.832MiB / 9.708GiB
alertmanager;0.14%;19.14MiB / 9.708GiB
prometheus;0.00%;48.29MiB / 9.708GiB
grafana;0.09%;53.13MiB / 9.708GiB
logstash;1.61%;797.2MiB / 9.708GiB
kibana;3.71%;665.6MiB / 9.708GiB
elasticsearch;1.74%;1.926GiB / 9.708GiB
cadvisor;2.53%;43.16MiB / 9.708GiB
node-exporter;0.00%;7.836MiB / 9.708GiB
