adoring_heyrovsky;5.85%;29.24MiB / 9.708GiB
alertmanager;0.19%;20.16MiB / 9.708GiB
prometheus;1.74%;47.75MiB / 9.708GiB
grafana;0.06%;53.16MiB / 9.708GiB
logstash;8.58%;806.9MiB / 9.708GiB
kibana;7.38%;665.6MiB / 9.708GiB
elasticsearch;6.37%;1.933GiB / 9.708GiB
cadvisor;3.97%;43.98MiB / 9.708GiB
node-exporter;0.00%;8MiB / 9.708GiB
adoring_heyrovsky;7.02%;29.74MiB / 9.708GiB
alertmanager;0.18%;20.15MiB / 9.708GiB
prometheus;0.00%;47.74MiB / 9.708GiB
grafana;0.17%;53.16MiB / 9.708GiB
logstash;13.95%;815.3MiB / 9.708GiB
kibana;5.36%;665.6MiB / 9.708GiB
elasticsearch;5.94%;1.933GiB / 9.708GiB
cadvisor;1.90%;44.22MiB / 9.708GiB
node-exporter;0.00%;8MiB / 9.708GiB
adoring_heyrovsky;8.05%;30.04MiB / 9.708GiB
alertmanager;0.21%;20.15MiB / 9.708GiB
prometheus;0.04%;47.74MiB / 9.708GiB
grafana;0.17%;53.16MiB / 9.708GiB
logstash;10.11%;829.5MiB / 9.708GiB
kibana;6.91%;665.6MiB / 9.708GiB
elasticsearch;8.42%;1.934GiB / 9.708GiB
cadvisor;3.76%;44.29MiB / 9.708GiB
node-exporter;0.00%;8MiB / 9.708GiB
adoring_heyrovsky;4.47%;30.05MiB / 9.708GiB
alertmanager;0.53%;20.16MiB / 9.708GiB
prometheus;0.00%;47.74MiB / 9.708GiB
grafana;0.21%;53.16MiB / 9.708GiB
logstash;13.04%;856.3MiB / 9.708GiB
kibana;8.03%;665.6MiB / 9.708GiB
elasticsearch;7.27%;1.934GiB / 9.708GiB
cadvisor;1.92%;44.29MiB / 9.708GiB
node-exporter;0.00%;8.199MiB / 9.708GiB
adoring_heyrovsky;4.62%;30.41MiB / 9.708GiB
alertmanager;0.14%;20.15MiB / 9.708GiB
prometheus;0.68%;47.74MiB / 9.708GiB
grafana;0.06%;53.16MiB / 9.708GiB
logstash;6.05%;856.4MiB / 9.708GiB
kibana;4.34%;665.6MiB / 9.708GiB
elasticsearch;10.85%;1.94GiB / 9.708GiB
cadvisor;3.96%;44.31MiB / 9.708GiB
node-exporter;0.00%;8.199MiB / 9.708GiB
adoring_heyrovsky;7.71%;30.5MiB / 9.708GiB
alertmanager;0.33%;19.53MiB / 9.708GiB
prometheus;0.00%;47.75MiB / 9.708GiB
grafana;0.33%;53.16MiB / 9.708GiB
logstash;35.10%;856.4MiB / 9.708GiB
kibana;10.14%;665.6MiB / 9.708GiB
elasticsearch;12.46%;1.94GiB / 9.708GiB
cadvisor;1.54%;44.78MiB / 9.708GiB
node-exporter;0.00%;8.5MiB / 9.708GiB
adoring_heyrovsky;7.59%;31.22MiB / 9.708GiB
alertmanager;0.21%;19.53MiB / 9.708GiB
prometheus;0.68%;47.74MiB / 9.708GiB
grafana;0.05%;53.16MiB / 9.708GiB
logstash;7.95%;856.4MiB / 9.708GiB
kibana;5.94%;665.6MiB / 9.708GiB
elasticsearch;7.19%;1.94GiB / 9.708GiB
cadvisor;5.47%;44.85MiB / 9.708GiB
node-exporter;0.00%;8.5MiB / 9.708GiB
adoring_heyrovsky;7.88%;31.5MiB / 9.708GiB
alertmanager;0.35%;19.53MiB / 9.708GiB
prometheus;0.00%;47.75MiB / 9.708GiB
grafana;0.14%;53.16MiB / 9.708GiB
logstash;15.59%;856.4MiB / 9.708GiB
kibana;8.42%;665.6MiB / 9.708GiB
elasticsearch;9.61%;1.941GiB / 9.708GiB
cadvisor;2.24%;43.95MiB / 9.708GiB
node-exporter;0.00%;8.039MiB / 9.708GiB
adoring_heyrovsky;7.09%;31.7MiB / 9.708GiB
alertmanager;0.27%;19.53MiB / 9.708GiB
prometheus;0.32%;47.75MiB / 9.708GiB
grafana;0.24%;53.16MiB / 9.708GiB
logstash;13.13%;856.5MiB / 9.708GiB
kibana;5.74%;665.6MiB / 9.708GiB
elasticsearch;7.63%;1.941GiB / 9.708GiB
cadvisor;1.63%;43.96MiB / 9.708GiB
node-exporter;0.00%;8.039MiB / 9.708GiB
adoring_heyrovsky;9.35%;32.24MiB / 9.708GiB
alertmanager;0.74%;19.53MiB / 9.708GiB
prometheus;0.00%;47.75MiB / 9.708GiB
grafana;0.06%;53.16MiB / 9.708GiB
logstash;14.52%;856.6MiB / 9.708GiB
kibana;6.49%;665.6MiB / 9.708GiB
elasticsearch;14.05%;1.941GiB / 9.708GiB
cadvisor;1.42%;42.77MiB / 9.708GiB
node-exporter;0.00%;8.043MiB / 9.708GiB
