krog,nacin,vzorec,komponenta,cpu_raw
1,strukturirano,1,prometheus,0.23
1,strukturirano,1,node-exporter,0.00
1,strukturirano,1,cadvisor,5.15
1,strukturirano,1,grafana,0.11
1,strukturirano,1,elasticsearch,5.04
1,strukturirano,1,kibana,14.65
1,strukturirano,1,logstash,16.68
1,strukturirano,1,alertmanager,0.23
1,strukturirano,2,prometheus,10.44
1,strukturirano,2,node-exporter,0.00
1,strukturirano,2,cadvisor,5.16
1,strukturirano,2,grafana,0.18
1,strukturirano,2,elasticsearch,3.68
1,strukturirano,2,kibana,14.00
1,strukturirano,2,logstash,18.91
1,strukturirano,2,alertmanager,0.73
1,strukturirano,3,prometheus,0.07
1,strukturirano,3,node-exporter,0.00
1,strukturirano,3,cadvisor,6.67
1,strukturirano,3,grafana,0.15
1,strukturirano,3,elasticsearch,6.48
1,strukturirano,3,kibana,17.71
1,strukturirano,3,logstash,21.85
1,strukturirano,3,alertmanager,1.27
1,strukturirano,4,prometheus,0.02
1,strukturirano,4,node-exporter,0.00
1,strukturirano,4,cadvisor,7.41
1,strukturirano,4,grafana,0.26
1,strukturirano,4,elasticsearch,4.42
1,strukturirano,4,kibana,13.87
1,strukturirano,4,logstash,53.93
1,strukturirano,4,alertmanager,0.61
1,strukturirano,5,prometheus,0.45
1,strukturirano,5,node-exporter,8.18
1,strukturirano,5,cadvisor,6.04
1,strukturirano,5,grafana,0.33
1,strukturirano,5,elasticsearch,4.35
1,strukturirano,5,kibana,14.88
1,strukturirano,5,logstash,12.87
1,strukturirano,5,alertmanager,0.32
1,strukturirano,6,prometheus,0.00
1,strukturirano,6,node-exporter,0.00
1,strukturirano,6,cadvisor,5.98
1,strukturirano,6,grafana,0.20
1,strukturirano,6,elasticsearch,3.94
1,strukturirano,6,kibana,14.77
1,strukturirano,6,logstash,14.76
1,strukturirano,6,alertmanager,1.55
1,strukturirano,7,prometheus,0.00
1,strukturirano,7,node-exporter,0.00
1,strukturirano,7,cadvisor,13.84
1,strukturirano,7,grafana,0.04
1,strukturirano,7,elasticsearch,2.68
1,strukturirano,7,kibana,16.89
1,strukturirano,7,logstash,14.43
1,strukturirano,7,alertmanager,0.21
1,strukturirano,8,prometheus,1.49
1,strukturirano,8,node-exporter,0.00
1,strukturirano,8,cadvisor,4.68
1,strukturirano,8,grafana,0.22
1,strukturirano,8,elasticsearch,5.92
1,strukturirano,8,kibana,17.17
1,strukturirano,8,logstash,34.24
1,strukturirano,8,alertmanager,0.42
1,strukturirano,9,prometheus,1.16
1,strukturirano,9,node-exporter,0.00
1,strukturirano,9,cadvisor,10.90
1,strukturirano,9,grafana,0.18
1,strukturirano,9,elasticsearch,5.34
1,strukturirano,9,kibana,14.86
1,strukturirano,9,logstash,13.32
1,strukturirano,9,alertmanager,0.30
1,strukturirano,10,prometheus,0.00
1,strukturirano,10,node-exporter,0.00
1,strukturirano,10,cadvisor,3.76
1,strukturirano,10,grafana,0.31
1,strukturirano,10,elasticsearch,9.20
1,strukturirano,10,kibana,14.55
1,strukturirano,10,logstash,9.57
1,strukturirano,10,alertmanager,0.47
2,strukturirano,1,prometheus,0.00
2,strukturirano,1,node-exporter,0.00
2,strukturirano,1,cadvisor,4.28
2,strukturirano,1,grafana,8.82
2,strukturirano,1,elasticsearch,12.71
2,strukturirano,1,kibana,19.87
2,strukturirano,1,logstash,10.81
2,strukturirano,1,alertmanager,0.85
2,strukturirano,2,prometheus,1.46
2,strukturirano,2,node-exporter,0.00
2,strukturirano,2,cadvisor,3.91
2,strukturirano,2,grafana,0.31
2,strukturirano,2,elasticsearch,10.05
2,strukturirano,2,kibana,13.26
2,strukturirano,2,logstash,39.40
2,strukturirano,2,alertmanager,0.39
2,strukturirano,3,prometheus,1.79
2,strukturirano,3,node-exporter,0.00
2,strukturirano,3,cadvisor,19.82
2,strukturirano,3,grafana,1.12
2,strukturirano,3,elasticsearch,6.86
2,strukturirano,3,kibana,12.49
2,strukturirano,3,logstash,74.22
2,strukturirano,3,alertmanager,1.06
2,strukturirano,4,prometheus,2.18
2,strukturirano,4,node-exporter,0.00
2,strukturirano,4,cadvisor,10.55
2,strukturirano,4,grafana,0.33
2,strukturirano,4,elasticsearch,3.81
2,strukturirano,4,kibana,14.18
2,strukturirano,4,logstash,45.67
2,strukturirano,4,alertmanager,0.81
2,strukturirano,5,prometheus,0.52
2,strukturirano,5,node-exporter,0.00
2,strukturirano,5,cadvisor,10.95
2,strukturirano,5,grafana,0.19
2,strukturirano,5,elasticsearch,4.87
2,strukturirano,5,kibana,14.43
2,strukturirano,5,logstash,15.55
2,strukturirano,5,alertmanager,0.72
2,strukturirano,6,prometheus,2.94
2,strukturirano,6,node-exporter,0.00
2,strukturirano,6,cadvisor,5.40
2,strukturirano,6,grafana,0.04
2,strukturirano,6,elasticsearch,8.42
2,strukturirano,6,kibana,17.27
2,strukturirano,6,logstash,12.21
2,strukturirano,6,alertmanager,0.40
2,strukturirano,7,prometheus,0.06
2,strukturirano,7,node-exporter,0.00
2,strukturirano,7,cadvisor,8.48
2,strukturirano,7,grafana,0.23
