krog,varianta,vzorec,komponenta,cpu_raw
1,A-izhodisce,1,prometheus,0.00
1,A-izhodisce,1,node-exporter,0.00
1,A-izhodisce,1,cadvisor,8.10
1,A-izhodisce,1,grafana,0.07
1,A-izhodisce,1,elasticsearch,16.95
1,A-izhodisce,1,kibana,17.17
1,A-izhodisce,1,logstash,170.65
1,A-izhodisce,1,alertmanager,0.80
1,A-izhodisce,2,prometheus,0.00
1,A-izhodisce,2,node-exporter,0.00
1,A-izhodisce,2,cadvisor,7.55
1,A-izhodisce,2,grafana,0.53
1,A-izhodisce,2,elasticsearch,89.64
1,A-izhodisce,2,kibana,19.46
1,A-izhodisce,2,logstash,129.85
1,A-izhodisce,2,alertmanager,0.48
1,A-izhodisce,3,prometheus,0.00
1,A-izhodisce,3,node-exporter,0.00
1,A-izhodisce,3,cadvisor,16.29
1,A-izhodisce,3,grafana,0.90
1,A-izhodisce,3,elasticsearch,34.49
1,A-izhodisce,3,kibana,17.89
1,A-izhodisce,3,logstash,166.99
1,A-izhodisce,3,alertmanager,5.18
1,A-izhodisce,4,prometheus,1.20
1,A-izhodisce,4,node-exporter,0.00
1,A-izhodisce,4,cadvisor,7.72
1,A-izhodisce,4,grafana,0.89
1,A-izhodisce,4,elasticsearch,9.67
1,A-izhodisce,4,kibana,24.28
1,A-izhodisce,4,logstash,54.49
1,A-izhodisce,4,alertmanager,0.79
1,A-izhodisce,5,prometheus,0.73
1,A-izhodisce,5,node-exporter,0.00
1,A-izhodisce,5,cadvisor,15.29
1,A-izhodisce,5,grafana,0.93
1,A-izhodisce,5,elasticsearch,27.39
1,A-izhodisce,5,kibana,22.17
1,A-izhodisce,5,logstash,74.35
1,A-izhodisce,5,alertmanager,0.62
1,A-izhodisce,6,prometheus,1.97
1,A-izhodisce,6,node-exporter,0.00
1,A-izhodisce,6,cadvisor,2.47
1,A-izhodisce,6,grafana,0.48
1,A-izhodisce,6,elasticsearch,8.52
1,A-izhodisce,6,kibana,18.26
1,A-izhodisce,6,logstash,50.51
1,A-izhodisce,6,alertmanager,0.56
1,A-izhodisce,7,prometheus,0.05
1,A-izhodisce,7,node-exporter,0.00
1,A-izhodisce,7,cadvisor,8.89
1,A-izhodisce,7,grafana,0.33
1,A-izhodisce,7,elasticsearch,13.83
1,A-izhodisce,7,kibana,16.90
1,A-izhodisce,7,logstash,64.24
1,A-izhodisce,7,alertmanager,0.37
1,A-izhodisce,8,prometheus,0.77
1,A-izhodisce,8,node-exporter,8.09
1,A-izhodisce,8,cadvisor,4.00
1,A-izhodisce,8,grafana,0.37
1,A-izhodisce,8,elasticsearch,8.64
1,A-izhodisce,8,kibana,14.78
1,A-izhodisce,8,logstash,67.53
1,A-izhodisce,8,alertmanager,0.39
1,A-izhodisce,9,prometheus,0.09
1,A-izhodisce,9,node-exporter,0.00
1,A-izhodisce,9,cadvisor,4.60
1,A-izhodisce,9,grafana,1.22
1,A-izhodisce,9,elasticsearch,14.66
1,A-izhodisce,9,kibana,14.71
1,A-izhodisce,9,logstash,95.16
1,A-izhodisce,9,alertmanager,1.04
1,A-izhodisce,10,prometheus,0.00
1,A-izhodisce,10,node-exporter,0.00
1,A-izhodisce,10,cadvisor,4.92
1,A-izhodisce,10,grafana,0.04
1,A-izhodisce,10,elasticsearch,9.64
1,A-izhodisce,10,kibana,17.10
1,A-izhodisce,10,logstash,49.25
1,A-izhodisce,10,alertmanager,0.37
