krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,A-izhodisce,mirovanje,1,prometheus,0.00,48.2MiB
1,A-izhodisce,mirovanje,1,node-exporter,0.00,8.418MiB
1,A-izhodisce,mirovanje,1,cadvisor,4.00,44.21MiB
1,A-izhodisce,mirovanje,1,grafana,0.13,53.01MiB
1,A-izhodisce,mirovanje,1,elasticsearch,6.25,1.943GiB
1,A-izhodisce,mirovanje,1,kibana,12.92,642MiB
1,A-izhodisce,mirovanje,1,logstash,2.98,745.1MiB
1,A-izhodisce,mirovanje,1,alertmanager,0.67,20.73MiB
1,A-izhodisce,mirovanje,2,prometheus,0.04,48.21MiB
1,A-izhodisce,mirovanje,2,node-exporter,0.00,8.418MiB
1,A-izhodisce,mirovanje,2,cadvisor,5.19,44.21MiB
1,A-izhodisce,mirovanje,2,grafana,0.09,53.01MiB
1,A-izhodisce,mirovanje,2,elasticsearch,3.79,1.943GiB
1,A-izhodisce,mirovanje,2,kibana,9.85,642MiB
1,A-izhodisce,mirovanje,2,logstash,5.60,745.3MiB
1,A-izhodisce,mirovanje,2,alertmanager,0.59,20.73MiB
1,A-izhodisce,mirovanje,3,prometheus,0.46,48.23MiB
1,A-izhodisce,mirovanje,3,node-exporter,4.86,8.418MiB
1,A-izhodisce,mirovanje,3,cadvisor,2.58,44.22MiB
1,A-izhodisce,mirovanje,3,grafana,0.16,53.01MiB
1,A-izhodisce,mirovanje,3,elasticsearch,3.04,1.943GiB
1,A-izhodisce,mirovanje,3,kibana,10.67,642MiB
1,A-izhodisce,mirovanje,3,logstash,5.23,745.4MiB
1,A-izhodisce,mirovanje,3,alertmanager,0.24,20.73MiB
1,A-izhodisce,mirovanje,4,prometheus,0.02,48.21MiB
1,A-izhodisce,mirovanje,4,node-exporter,0.00,8.418MiB
1,A-izhodisce,mirovanje,4,cadvisor,2.14,44.23MiB
1,A-izhodisce,mirovanje,4,grafana,0.44,53.01MiB
1,A-izhodisce,mirovanje,4,elasticsearch,2.97,1.943GiB
1,A-izhodisce,mirovanje,4,kibana,8.73,642.5MiB
1,A-izhodisce,mirovanje,4,logstash,7.02,745.5MiB
1,A-izhodisce,mirovanje,4,alertmanager,0.46,20.73MiB
1,A-izhodisce,mirovanje,5,prometheus,0.07,48.21MiB
1,A-izhodisce,mirovanje,5,node-exporter,0.00,8.418MiB
1,A-izhodisce,mirovanje,5,cadvisor,2.48,44.23MiB
1,A-izhodisce,mirovanje,5,grafana,0.31,53.05MiB
1,A-izhodisce,mirovanje,5,elasticsearch,3.04,1.943GiB
1,A-izhodisce,mirovanje,5,kibana,9.16,642.5MiB
1,A-izhodisce,mirovanje,5,logstash,8.11,745.7MiB
1,A-izhodisce,mirovanje,5,alertmanager,0.50,20.73MiB
1,A-izhodisce,mirovanje,6,prometheus,2.55,48.24MiB
1,A-izhodisce,mirovanje,6,node-exporter,4.62,8.426MiB
1,A-izhodisce,mirovanje,6,cadvisor,3.61,44.22MiB
1,A-izhodisce,mirovanje,6,grafana,0.35,53.06MiB
1,A-izhodisce,mirovanje,6,elasticsearch,1.84,1.943GiB
1,A-izhodisce,mirovanje,6,kibana,11.36,642.5MiB
1,A-izhodisce,mirovanje,6,logstash,28.15,746MiB
1,A-izhodisce,mirovanje,6,alertmanager,0.53,20.73MiB
1,A-izhodisce,mirovanje,7,prometheus,0.00,48.23MiB
1,A-izhodisce,mirovanje,7,node-exporter,0.00,8.426MiB
1,A-izhodisce,mirovanje,7,cadvisor,6.60,44.24MiB
1,A-izhodisce,mirovanje,7,grafana,0.06,53.06MiB
1,A-izhodisce,mirovanje,7,elasticsearch,2.37,1.943GiB
1,A-izhodisce,mirovanje,7,kibana,12.99,642.5MiB
1,A-izhodisce,mirovanje,7,logstash,28.63,746.3MiB
1,A-izhodisce,mirovanje,7,alertmanager,0.26,20.73MiB
